Samsung SCX-4321;https://komp.1k.by//periphery-printers/samsung/Samsung_SCX_4321-94794.html;https://static.1k.by/images/products/ip/125/p100000/pb/c/94794/mf18fbda8c.jpg;копир/сканер, A4, печать: лазерная черно-белая, сканер: 600x600 dpi, скорость печати: ч/б - 20 стр/мин, вывод: 50 листов
Samsung SCX-3200;https://komp.1k.by//periphery-printers/samsung/Samsung_SCX_3200-431374.html;https://static.1k.by/images/products/ip/125/p440000/p0/6/431374/i6413954c2.jpg;копир/сканер, A4, печать: лазерная черно-белая, сканер: 1200x1200 dpi, скорость печати: ч/б - 16 стр/мин, вывод: 50 листов
Samsung ML-2160;https://komp.1k.by//periphery-printers/samsung/Samsung_ML_2160-642599.html;https://static.1k.by/images/products/ip/125/p650000/p0/b/642599/i710396dc0.jpg;A4, печать: лазерная черно-белая, скорость печати: ч/б - 20 стр/мин, вывод: 100 листов
Samsung ML-4500;https://komp.1k.by//periphery-printers/samsung/Samsung_ML_4500-94782.html;https://static.1k.by/images/products/ip/125/p100000/p9/8/94782/ma10f1c494.jpg;A4, печать: лазерная черно-белая, скорость печати: ч/б - 8 стр/мин, вывод: 100 листов
Samsung SCX-4220;https://komp.1k.by//periphery-printers/samsung/Samsung_SCX_4220-94793.html;https://static.1k.by/images/products/ip/125/p100000/p1/2/94793/me2d95a3b1.jpg;копир/сканер, A4, печать: лазерная черно-белая, сканер: 600x2400 dpi, скорость печати: ч/б - 18 стр/мин, вывод: 50 листов
Samsung SCX-4300;https://komp.1k.by//periphery-printers/samsung/Samsung_SCX_4300-138720.html;https://static.1k.by/images/products/ip/125/p140000/pd/4/138720/m9c2cf9a13.jpg;копир/сканер, A4, печать: лазерная черно-белая, сканер: 600x2400 dpi, скорость печати: ч/б - 18 стр/мин, вывод: 51 листов
Samsung SL-M3870FD;https://komp.1k.by//periphery-printers/samsung/Samsung_SL_M3870FD-898657.html;https://static.1k.by/images/products/ip/125/p900000/p8/0/898657/i2cba452b1.jpg;копир/сканер/факс, A4, печать: лазерная черно-белая, прямая, сканер: 1200x1200 dpi, скорость печати: ч/б - 38 стр/мин, вывод: 150 листов
Samsung Xpress M2020;https://komp.1k.by//periphery-printers/samsung/Samsung_Xpress_M2020-2754601.html;https://static.1k.by/images/products/ip/125/ppb/6/2754601/i0d6c6f40c.jpg;A4, печать: лазерная черно-белая, скорость печати: ч/б - 20 стр/мин, вывод: 100 листов
Samsung SPP-2020;https://komp.1k.by//periphery-printers/samsung/Samsung_SPP_2020-90028.html;https://static.1k.by/images/products/ip/125/p100000/pf/f/90028/ma9b681665.jpg;фотопринтер, A6, печать: сублимационная цветная, прямая, 300x300 dpi, вывод: 10 листов, Bluetooth
Samsung ML-1510;https://komp.1k.by//periphery-printers/samsung/Samsung_ML_1510-93475.html;https://static.1k.by/images/products/ip/125/p100000/pb/d/93475/m18c8b1cc0.jpg;A4, печать: лазерная черно-белая, скорость печати: ч/б - 14 стр/мин, вывод: 50 листов
Samsung ML-1710;https://komp.1k.by//periphery-printers/samsung/Samsung_ML_1710-93479.html;https://static.1k.by/images/products/ip/125/p100000/pf/2/93479/m6f12fc81a.jpg;A4, печать: лазерная, скорость печати: ч/б - 16 стр/мин, вывод: 50 листов
Samsung ML-2015;https://komp.1k.by//periphery-printers/samsung/Samsung_ML_2015-94661.html;https://static.1k.by/images/products/ip/125/p100000/p2/9/94661/m38c093a76.jpg;A4, печать: лазерная черно-белая, скорость печати: ч/б - 20 стр/мин, вывод: 100 листов
Samsung ML-1641;https://komp.1k.by//periphery-printers/samsung/Samsung_ML_1641-138711.html;https://static.1k.by/images/products/ip/125/p140000/p5/8/138711/mcf15c740b.jpg;A4, печать: лазерная черно-белая, скорость печати: ч/б - 16 стр/мин, вывод: 100 листов
